,canal,capturas_tarjetas,aprobacion_tarjetas,tarjetas,capturas_creditos,aprobacion_creditos,cantidad_creditos,monto_creditos,seguros,trafico_transaccional,trafico_clientes,aprovechamiento_de_trafico,contribucion,cluster
127,50000043,216.0,0.25296,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.78116,1
128,50000044,1903.5,0.16971,299.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,827.45154,1
129,50000046,144.5,0.22453,29.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.67354,1
130,50000047,1867.75,0.21779,379.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.00885,1
131,50000048,537.0,0.22833,115.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.10839,1
132,50000049,1136.0,0.23151,245.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.64184,1
133,50000053,90.0,0.18043,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.54964,1
134,50000054,215.0,0.23694,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.49289,1
135,50000071,213.75,0.17916,35.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.11392,1
136,50000072,285.5,0.09621,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.41175,1
137,50000076,2528.0,0.23986,550.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.54394,1
138,50000077,145.25,0.21965,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.16321,1
139,51000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
140,51000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
141,305014,1024.75,0.23361,214.75,312.25,0.03971,36.5,119.04254,214.5,154765.75,94460.5,0.01391,1899.78072,2
142,305015,306.75,0.32983,86.25,52.25,0.01147,3.0,11.08023,50.75,193489.75,130281.25,0.00268,2002.55625,0
143,305023,416.5,0.18089,71.0,185.5,0.0172,6.75,19.27108,81.0,156162.75,94451.0,0.00624,240.1794,0
